Wall time,Step,Value
1763164540.747295,0,0.0021058223210275173
1763164594.925316,1,0.003622133284807205
1763164649.1378982,2,0.013574100099503994
1763164703.4354384,3,0.014455528929829597
1763164757.718525,4,0.02012086845934391
1763164811.972394,5,0.04282906651496887
1763164866.260655,6,0.03954504430294037
1763164920.528534,7,0.05287821590900421
1763164974.8811498,8,0.053187496960163116
1763165029.183491,9,0.055654969066381454
1763165083.547106,10,0.046070486307144165
1763165137.8633292,11,0.039413828402757645
1763165192.160244,12,0.049220044165849686
1763165246.4197924,13,0.08404888212680817
1763165300.629686,14,0.10000357031822205
1763165354.874788,15,0.05402452126145363
1763165409.1638489,16,0.07512519508600235
1763165463.4369662,17,0.0954098030924797
1763165517.7995973,18,0.12530694901943207
1763165572.112258,19,0.14263325929641724
1763165626.769575,20,0.16175352036952972
1763165681.5703568,21,0.1803882122039795
1763165736.0008404,22,0.09311340749263763
1763165790.442589,23,0.19790567457675934
1763165844.9376092,24,0.10432382673025131
1763165899.4056804,25,0.20455749332904816
1763165953.9214044,26,0.19674533605575562
1763166008.4977756,27,0.19784629344940186
1763166063.045564,28,0.2535083293914795
1763166117.561615,29,0.2340414822101593
1763166172.248742,30,0.2387237548828125
1763166226.8500881,31,0.21235062181949615
1763166281.58753,32,0.2339828759431839
1763166336.2688005,33,0.3092553913593292
1763166391.0248954,34,0.24983254075050354
1763166445.6888523,35,0.28842049837112427
1763166500.4270542,36,0.3871029019355774
1763166555.1284323,37,0.33255985379219055
1763166609.8507469,38,0.37034064531326294
1763166664.4647517,39,0.3717675507068634
1763166719.2548084,40,0.43532225489616394
1763166773.917495,41,0.3972759544849396
1763166828.5958045,42,0.3974984586238861
1763166883.5125165,43,0.4964052140712738
1763166938.3058388,44,0.5120818018913269
1763166993.1178005,45,0.49068549275398254
1763167047.8077576,46,0.5124874711036682
1763167102.51672,47,0.48951607942581177
1763167157.381288,48,0.5579274892807007
1763167212.1132727,49,0.5496537089347839
1763167266.8411984,50,0.5495541095733643
1763167321.5918398,51,0.577465832233429
1763167376.298111,52,0.5701056718826294
1763167431.0741253,53,0.5915213227272034
1763167485.9014938,54,0.5937927961349487
1763167540.7063966,55,0.6015162467956543
1763167595.6381745,56,0.600220799446106
1763167650.7442439,57,0.6369433999061584
1763167705.7116306,58,0.5950588583946228
1763167760.6819959,59,0.5816817283630371
1763167815.6464593,60,0.6087573766708374
1763167870.575104,61,0.5566162467002869
1763167925.5870624,62,0.58022540807724
1763167980.5933893,63,0.6254040002822876
1763168035.7644014,64,0.6114463806152344
1763168091.0926135,65,0.6515644192695618
1763168146.3483696,66,0.6524695754051208
1763168201.4484708,67,0.661446750164032
1763168256.5649774,68,0.6358516812324524
1763168311.8241763,69,0.6355115175247192
1763168367.006618,70,0.6745045781135559
1763168422.2802052,71,0.678214430809021
1763168477.607971,72,0.6321144700050354
1763168533.1017442,73,0.637542188167572
1763168588.3528078,74,0.6648403406143188
1763168643.7190006,75,0.66276615858078
1763168699.0479379,76,0.668927013874054
1763168754.3981462,77,0.6946982145309448
1763168809.7629936,78,0.6419380307197571
1763168865.079623,79,0.6693336367607117
1763168920.4420953,80,0.7009046077728271
1763168975.7904673,81,0.6703454256057739
1763169031.1520123,82,0.6760997176170349
1763169086.696122,83,0.6798369884490967
1763169142.2937472,84,0.6765784025192261
1763169197.8046653,85,0.6786261796951294
1763169253.300919,86,0.7185662388801575
1763169308.774196,87,0.6643959879875183
1763169364.1936023,88,0.6535939574241638
1763169419.615696,89,0.67181795835495
1763169475.0861053,90,0.6635875105857849
1763169530.7355654,91,0.6903735995292664
1763169586.3928049,92,0.658046305179596
1763169641.9339356,93,0.6901894807815552
1763169697.5107875,94,0.7136806845664978
1763169753.2499282,95,0.686287522315979
1763169808.7513871,96,0.682567298412323
1763169864.3513253,97,0.6963371634483337
1763169920.0066812,98,0.6930962800979614
1763169975.7297416,99,0.7242348790168762
1763170031.2580285,100,0.6930919885635376
1763170086.7479284,101,0.7097908854484558
1763170142.428619,102,0.7128896713256836
1763170197.9089072,103,0.6844936609268188
1763170253.414448,104,0.6976122856140137
1763170308.9675484,105,0.7082860469818115
1763170364.5881617,106,0.7068241834640503
1763170420.1702416,107,0.7003962993621826
1763170475.7494857,108,0.6801775097846985
1763170531.4626162,109,0.7020500302314758
1763170587.1001375,110,0.694469153881073
1763170642.6169744,111,0.7124573588371277
1763170698.1225119,112,0.7253544330596924
1763170753.620266,113,0.6783199310302734
1763170809.1437354,114,0.7088251709938049
1763170864.7291648,115,0.7264491319656372
1763170920.331895,116,0.7245375514030457
1763170975.8375418,117,0.7238209843635559
1763171031.344514,118,0.7159445285797119
1763171087.0108526,119,0.7240699529647827
1763171142.5182867,120,0.7275890111923218
1763171197.988387,121,0.710728108882904
1763171253.4846168,122,0.7071111798286438
1763171308.9678173,123,0.7102580070495605
1763171364.4747894,124,0.7219576239585876
1763171420.038503,125,0.732114315032959
1763171475.6159644,126,0.7194396257400513
1763171531.1030202,127,0.7232396006584167
1763171586.6385784,128,0.734226405620575
1763171642.1395073,129,0.7065277695655823
1763171697.7470763,130,0.7120018601417542
1763171753.2667584,131,0.7191530466079712
1763171808.7941003,132,0.7170388102531433
1763171864.2652338,133,0.747196614742279
1763171919.8274815,134,0.748176097869873
1763171975.3910825,135,0.7268339395523071
1763172030.94351,136,0.7332745790481567
1763172086.519772,137,0.7258532047271729
1763172142.012595,138,0.7396584153175354
1763172197.5622377,139,0.7492703795433044
1763172253.0747957,140,0.7257303595542908
1763172308.6684504,141,0.7409860491752625
1763172364.2346027,142,0.7300868630409241
1763172419.9673896,143,0.7459535598754883
1763172475.5524137,144,0.7584035992622375
1763172531.213944,145,0.7395825386047363
1763172586.857007,146,0.7383647561073303
1763172642.4305575,147,0.7312045693397522
1763172697.9284449,148,0.7403194308280945
1763172753.4327,149,0.7702072858810425
1763172808.9330592,150,0.739623486995697
1763172864.5375829,151,0.7507472634315491
1763172920.2814548,152,0.7450286746025085
1763172975.9083602,153,0.7473114132881165
1763173031.5845265,154,0.7659493684768677
1763173087.2835994,155,0.7569552063941956
1763173142.8781123,156,0.7638899683952332
1763173198.6724563,157,0.7707208395004272
1763173254.4114044,158,0.7664657831192017
1763173310.0078623,159,0.7574796676635742
1763173365.5997543,160,0.7642341256141663
1763173421.1925619,161,0.7772347927093506
1763173476.7846837,162,0.7679559588432312
1763173532.4098,163,0.7650829553604126
1763173587.9614868,164,0.7707504630088806
1763173643.5069454,165,0.7625677585601807
1763173699.0971653,166,0.7821111679077148
1763173754.6492934,167,0.7776696681976318
1763173810.1802964,168,0.7705692648887634
1763173865.781056,169,0.772343635559082
1763173921.3138359,170,0.7725592255592346
1763173976.895691,171,0.777263343334198
1763174032.4404235,172,0.7678418159484863
1763174088.1297646,173,0.7751421332359314
1763174143.6643896,174,0.7833433747291565
1763174199.2045712,175,0.7811444401741028
1763174254.790552,176,0.7792606353759766
1763174310.3216078,177,0.7870095372200012
1763174365.8638754,178,0.7849698066711426
1763174421.322357,179,0.7815321683883667
1763174476.8621209,180,0.7853702306747437
1763174532.341047,181,0.7901459336280823
1763174587.7760477,182,0.7824612855911255
1763174643.249023,183,0.780816376209259
1763174698.91652,184,0.781307578086853
1763174754.5140765,185,0.7813665270805359
1763174810.0955417,186,0.7846909761428833
1763174865.6952968,187,0.7826119065284729
1763174921.1967974,188,0.7810641527175903
1763174976.7441235,189,0.7820141911506653
1763175032.3849657,190,0.7878240346908569
1763175087.995171,191,0.7882580161094666
1763175143.545195,192,0.7821528911590576
1763175199.1861176,193,0.7857988476753235
1763175254.8098316,194,0.7831842303276062
1763175310.3023405,195,0.7833982110023499
1763175365.8973234,196,0.7807660102844238
1763175421.4772382,197,0.7827995419502258
1763175476.9818532,198,0.7860009670257568
1763175532.5119739,199,0.7874658703804016
