Wall time,Step,Value
1763175571.1230912,0,0.000749391911085695
1763175609.4132934,1,0.0052858092822134495
1763175647.4938629,2,0.012125421315431595
1763175685.6557748,3,0.015924926847219467
1763175723.7375817,4,0.024477235972881317
1763175761.9641871,5,0.006459394004195929
1763175800.1466541,6,0.07338756322860718
1763175838.2806034,7,0.04576508328318596
1763175876.4076977,8,0.025793753564357758
1763175914.5436578,9,0.027791958302259445
1763175952.5981793,10,0.06664980202913284
1763175990.8392832,11,0.04711252450942993
1763176028.891104,12,0.035524651408195496
1763176067.0732327,13,0.055386364459991455
1763176105.215372,14,0.0327143669128418
1763176143.3748245,15,0.070066437125206
1763176181.6626313,16,0.04446881636977196
1763176219.8710947,17,0.10213221609592438
1763176258.0027716,18,0.0813506618142128
1763176296.2447007,19,0.12643198668956757
1763176334.4308631,20,0.14703717827796936
1763176372.6171873,21,0.10988253355026245
1763176410.8505929,22,0.16266563534736633
1763176448.9813597,23,0.1542719602584839
1763176487.450173,24,0.21569600701332092
1763176525.6457303,25,0.16370108723640442
1763176563.9791598,26,0.24462361633777618
1763176602.2153869,27,0.26162004470825195
1763176640.5404131,28,0.30321434140205383
1763176678.931724,29,0.2592179775238037
1763176717.2704248,30,0.26387298107147217
1763176755.5409236,31,0.3406592607498169
1763176794.0663044,32,0.29522064328193665
1763176832.4201546,33,0.35867583751678467
1763176870.7175384,34,0.33851081132888794
1763176909.0309477,35,0.3698193430900574
1763176947.3275259,36,0.4151844084262848
1763176985.7968097,37,0.33942466974258423
1763177024.1391196,38,0.39875051379203796
1763177062.4648128,39,0.4324376583099365
1763177100.7948294,40,0.47949525713920593
1763177139.2873163,41,0.3827497065067291
1763177177.6404202,42,0.5025021433830261
1763177216.175145,43,0.5175198316574097
1763177254.5282817,44,0.4843553900718689
1763177292.9114227,45,0.5710815191268921
1763177331.2665846,46,0.5319022536277771
1763177369.7045352,47,0.5333799123764038
1763177407.9434829,48,0.5522300004959106
1763177446.3849778,49,0.5660995244979858
1763177484.7967694,50,0.580468475818634
1763177523.1695106,51,0.56095951795578
1763177561.5528238,52,0.6089627146720886
1763177600.042111,53,0.6017158031463623
1763177638.4145727,54,0.6180258989334106
1763177676.8874824,55,0.5897368788719177
1763177715.2852821,56,0.6473358869552612
1763177753.649903,57,0.6143199801445007
1763177792.1468177,58,0.6053833365440369
1763177830.4877245,59,0.6065128445625305
1763177869.032953,60,0.657532274723053
1763177907.430873,61,0.6526086330413818
1763177945.8510964,62,0.6404193043708801
1763177984.4751182,63,0.6451048851013184
1763178022.9094794,64,0.6020524501800537
1763178061.3240535,65,0.6246787905693054
1763178099.7771196,66,0.6452712416648865
1763178138.128735,67,0.619935929775238
1763178176.5541234,68,0.6375278234481812
1763178214.9911144,69,0.6138359308242798
1763178253.4471724,70,0.6456191539764404
1763178292.1572313,71,0.5962368845939636
1763178330.6452267,72,0.6667606830596924
1763178369.2863033,73,0.6773937940597534
1763178407.7477617,74,0.6898901462554932
1763178446.2341669,75,0.6667006015777588
1763178484.7781193,76,0.6888000965118408
1763178523.3929024,77,0.6633342504501343
1763178561.896058,78,0.6790239810943604
1763178600.6165361,79,0.645057201385498
1763178639.2143607,80,0.6840775012969971
1763178677.9720092,81,0.6779648065567017
1763178716.7141464,82,0.6788426637649536
1763178755.4728909,83,0.6599258184432983
1763178794.0137727,84,0.6683472990989685
1763178832.5316515,85,0.6973844766616821
1763178871.0483754,86,0.6496343612670898
1763178909.7434268,87,0.7018463015556335
1763178948.5254054,88,0.6903544664382935
1763178985.3462515,89,0.6169860363006592
1763179023.861509,90,0.6909835934638977
1763179062.4271173,91,0.6688879728317261
1763179101.0500662,92,0.6612706780433655
1763179139.698826,93,0.6843211054801941
1763179178.4610956,94,0.6945578455924988
1763179217.111608,95,0.6943153142929077
1763179255.6577556,96,0.7120264768600464
1763179294.257927,97,0.6923242211341858
1763179332.7917447,98,0.6746801137924194
1763179371.3545825,99,0.678453266620636
1763179409.8126738,100,0.7128623723983765
1763179448.459069,101,0.6764002442359924
1763179487.1121929,102,0.6824302673339844
1763179525.9482002,103,0.7051766514778137
1763179564.6298995,104,0.6900120973587036
1763179603.1316073,105,0.7096276879310608
1763179641.6288607,106,0.6839188933372498
1763179680.2128654,107,0.7028228640556335
1763179718.762559,108,0.7022149562835693
1763179757.307868,109,0.695777416229248
1763179795.964513,110,0.6921037435531616
1763179834.5289028,111,0.6973351240158081
1763179873.0757418,112,0.6974135041236877
1763179911.7088664,113,0.7108044028282166
1763179950.2963285,114,0.7160009741783142
1763179988.8406644,115,0.7104018330574036
1763180027.542853,116,0.7158320546150208
1763180066.1617143,117,0.7154139280319214
1763180104.757448,118,0.7099738121032715
1763180143.3968706,119,0.7170426249504089
1763180181.985825,120,0.7120343446731567
1763180220.4971635,121,0.7135363817214966
1763180259.1366243,122,0.7107148766517639
1763180297.7550852,123,0.7402076721191406
1763180336.218247,124,0.6922039985656738
1763180374.8612995,125,0.7244067192077637
1763180413.461327,126,0.7312848567962646
1763180452.0756269,127,0.7286138534545898
1763180490.623428,128,0.724801778793335
1763180529.2251673,129,0.7048660516738892
1763180567.7830272,130,0.7301340699195862
1763180606.3500881,131,0.7248367071151733
1763180644.950929,132,0.7328184247016907
1763180683.5451138,133,0.7198526263237
1763180722.4626613,134,0.7262647151947021
1763180761.2006917,135,0.7197254300117493
1763180799.7706113,136,0.7247443199157715
1763180838.4894202,137,0.7316782474517822
1763180877.0562108,138,0.7369482517242432
1763180915.6136475,139,0.7394390106201172
1763180954.2919564,140,0.7459819316864014
1763180992.8630908,141,0.7280529737472534
1763181031.663194,142,0.7470366954803467
1763181070.3083735,143,0.7281636595726013
1763181109.0234528,144,0.7399160861968994
1763181147.7938368,145,0.7548991441726685
1763181186.4115863,146,0.7513893842697144
1763181225.0413988,147,0.7359821200370789
1763181263.6940424,148,0.746548593044281
1763181302.265853,149,0.7363150119781494
1763181340.8869905,150,0.7523193955421448
1763181379.461982,151,0.7480238676071167
1763181418.1587052,152,0.7703060507774353
1763181456.7027342,153,0.766239583492279
1763181495.2839746,154,0.7526644468307495
1763181533.871454,155,0.7555999755859375
1763181572.5133538,156,0.7554984092712402
1763181611.233146,157,0.754615843296051
1763181649.9667404,158,0.7588066458702087
1763181688.5755453,159,0.7622023820877075
1763181727.1847022,160,0.7590811848640442
1763181765.8961346,161,0.7584801912307739
1763181804.5761168,162,0.7668764591217041
1763181843.357072,163,0.7721723318099976
1763181881.9177222,164,0.7715054750442505
1763181920.5737574,165,0.7739477157592773
1763181959.2038324,166,0.7678431868553162
1763181997.8576572,167,0.7713360786437988
1763182036.4207437,168,0.7651073932647705
1763182074.9515166,169,0.7746726274490356
1763182113.4868379,170,0.7802015542984009
1763182152.1234186,171,0.7792842388153076
1763182190.725141,172,0.7841342687606812
1763182229.3599246,173,0.781286358833313
1763182268.07,174,0.7835419178009033
1763182306.6062453,175,0.7824499607086182
1763182345.1544023,176,0.7777116894721985
1763182383.7032375,177,0.7826783061027527
1763182422.2954264,178,0.7883655428886414
1763182460.8648145,179,0.789554238319397
1763182499.3966832,180,0.7877881526947021
1763182538.1239738,181,0.7895392775535583
1763182576.6984346,182,0.7905150055885315
1763182615.241727,183,0.7892171144485474
1763182653.8627336,184,0.7853284478187561
1763182692.550897,185,0.7879919409751892
1763182731.1371536,186,0.7898882627487183
1763182769.6675406,187,0.7868770360946655
1763182808.2844782,188,0.7834122776985168
